#Keyword Types: 500
#Keyword Tokens: 172875
#Search Hits: 0
1	10942	+	31899.54	0.0748	--
2	9529	+	8795.43	0.0639	он
3	6029	+	7539.65	0.0415	она
4	1617	+	4537.1	0.0114	левин
5	2795	+	3981.53	0.0196	сказать
6	4498	+	3640.9	0.031	я
7	862	+	2489.04	0.0061	вронский
8	821	+	2302.72	0.0058	анна
9	1465	+	2137.04	0.0103	ты
10	589	+	1700.31	0.0042	кити
11	549	+	1584.78	0.0039	аркадьич
12	550	+	1542.4	0.0039	степан
13	577	+	1520.47	0.0041	александрович
14	6176	+	1453.73	0.0414	что
15	634	+	1286.07	0.0045	алексей
16	1111	+	1131.06	0.0078	знать
17	12946	+	1069.26	0.0799	и
18	1260	+	1042.69	0.0089	вы
19	301	+	855.8	0.0021	долли
20	490	+	814.98	0.0035	чувствовать
21	853	+	790.35	0.006	ее
22	816	+	788.97	0.0058	теперь
23	6552	+	763.8	0.0434	не
24	1328	+	761.34	0.0093	говорить
25	647	+	730.57	0.0046	думать
26	814	+	715.47	0.0058	да
27	236	+	681.05	0.0017	пред
28	242	+	676.25	0.0017	княгиня
29	5316	+	674.8	0.0357	быть
30	282	+	658.51	0.002	улыбка
31	695	+	644.94	0.0049	хотеть
32	224	+	634.13	0.0016	александровна
33	434	+	618.36	0.0031	любить
34	342	+	612.02	0.0024	муж
35	340	+	607.11	0.0024	брат
36	709	+	606.65	0.005	рука
37	268	+	590.93	0.0019	иванович
38	212	+	566.88	0.0015	тотчас
39	217	+	561.42	0.0015	дарья
40	607	+	560.88	0.0043	лицо
41	410	+	556.33	0.0029	жена
42	379	+	541.82	0.0027	опять
43	1193	+	535.33	0.0084	его
44	2572	+	529.52	0.0178	но
45	237	+	508.64	0.0017	улыбаться
46	473	+	506.64	0.0033	ну
47	1164	+	466.89	0.0082	себя
48	725	+	457.36	0.0051	видеть
49	286	+	450.86	0.002	приехать
50	351	+	449.97	0.0025	отвечать
51	205	+	431.85	0.0015	лошадь
52	295	+	428.73	0.0021	спросить
53	472	+	427.19	0.0033	глаз
54	148	+	427.07	0.0011	варенька
55	1827	+	401.12	0.0127	свой
56	161	+	393.79	0.0011	нынче
57	293	+	390.07	0.0021	разговор
58	135	+	389.55	0.001	свияжский
59	304	+	387.13	0.0022	чувство
60	2663	+	387.05	0.0184	как
61	179	+	385.7	0.0013	рад
62	133	+	383.78	0.0009	облонский
63	222	+	383.62	0.0016	выражение
64	251	+	377.12	0.0018	ехать
65	336	+	372.17	0.0024	мысль
66	138	+	370.79	0.001	графиня
67	143	+	359.83	0.001	видать
68	181	+	356.08	0.0013	веселый
69	188	+	340.84	0.0013	поехать
70	214	+	327.03	0.0015	глядеть
71	145	+	322.79	0.001	ах
72	163	+	319.76	0.0012	мужик
73	111	+	309.4	0.0008	увидать
74	106	+	305.86	0.0008	бетси
75	106	+	305.86	0.0008	весловский
76	112	+	304.11	0.0008	лидия
77	131	+	297.7	0.0009	прибавить
78	491	+	296.59	0.0035	ничто
79	217	+	293.88	0.0015	любовь
80	149	+	293.64	0.0011	взглянуть
81	1452	+	287.69	0.0102	же
82	111	+	276.19	0.0008	улыбнуться
83	408	+	275.62	0.0029	смотреть
84	1422	+	274.82	0.01	так
85	110	+	268.17	0.0008	сережа
86	152	+	266.28	0.0011	очевидно
87	108	+	262.65	0.0008	проговорить
